,gene1,gene2,hap1.negative.gi,rpe1.negative.gi,hap1_early_effect_size,hap1_late_effect_size,rpe1_early_effect_size,rpe1_late_effect_size,hap1_gi_type,rpe1_gi_type
1,SEC23A,SEC23B,Negative,Negative,-3.028952801,-3.424526185,-2.306237784,-2.103824599,shared,shared
2,SAR1A,SAR1B,Negative,Negative,-2.89082732,-3.28814235,-1.680115255,-1.392617151,shared,unique_early
3,COQ10B,COQ10A,Negative,none,-2.86904347,-3.114457002,-0.990499313,-0.992758954,shared,none
4,AP2A2,AP2A1,Negative,none,-2.859159517,-2.949726399,-0.530460619,-0.122095405,shared,none
5,CUL4A,CUL4B,Negative,Negative,-2.842330466,-3.439328356,-1.82696589,-1.543943216,shared,shared
6,PITPNA,PITPNB,Negative,none,-2.834381736,-3.090842867,-1.169633401,-1.323852587,shared,none
7,LDHA,LDHB,Negative,none,-2.793009228,-2.581593587,-0.919464596,-0.949989035,shared,none
8,RAB1A,RAB1B,Negative,Negative,-2.664946715,-3.141019148,-1.849316444,-1.596547798,shared,shared
9,TIAL1,TIA1,Negative,none,-2.562091121,-2.770679861,0.793514262,0.946264079,shared,none
10,SPATA2,SPATA2L,Negative,Negative,-2.234040512,-1.885459952,-1.671958001,-1.470887298,shared,unique_early
11,CNOT7,CNOT8,Negative,none,-2.124989426,-1.898156939,-1.158205832,-1.108226024,unique_early,none
12,TTC7B,TTC7A,Negative,none,-2.12321478,-2.024869561,-1.18283016,-0.923925474,shared,none
13,TNKS2,TNKS,Negative,none,-2.089380216,-2.568252222,-1.029117244,-0.674570446,shared,none
14,TAF4,TAF4B,Negative,none,-2.065081635,-2.526780441,0.224465653,0.270629,shared,none
15,AP2B1,AP1B1,Negative,none,-2.056422212,-2.141719321,-0.269703828,0.172472609,shared,none
16,SLC25A37,SLC25A28,Negative,none,-2.053132403,-2.324523767,-0.249457174,-0.432067778,shared,none
17,PDS5A,PDS5B,Negative,none,-1.942062449,-1.690861096,-1.007379743,-1.16117744,unique_early,none
18,CCNL2,CCNL1,none,none,-1.903441409,-1.537357998,-1.442821776,-1.619111275,none,none
19,SLC16A1,SLC16A3,Negative,none,-1.881029013,-2.241832866,-0.20433612,0.266199228,shared,none
20,DOK1,DOK3,Negative,none,-1.870104169,-1.75969785,0.537528607,0.83578641,shared,none
21,GPR137,GPR137C,Negative,none,-1.869424742,-2.039677859,-0.511138422,-0.440341839,shared,none
22,CCNB1,CCNB2,Negative,none,-1.812177425,-1.713703785,-0.986536719,-0.840457506,shared,none
23,UAP1,UAP1L1,Negative,none,-1.750178714,-2.070289144,-0.14412277,0.090487521,shared,none
24,HNRNPH3,HNRNPF,Negative,Negative,-1.742129141,-1.494695674,-1.19940289,-0.857283681,shared,unique_early
25,TLK2,TLK1,Negative,none,-1.732687396,-1.508485909,0.04812319,0.031394424,shared,none
26,DBI,ACBD7,Negative,Negative,-1.683693401,-1.528315853,-1.573250672,-1.489568264,unique_early,unique_early
27,PTBP1,PTBP2,Negative,none,-1.674610429,-2.206082744,-0.388638409,-0.051952606,shared,none
28,ROCK2,ROCK1,Negative,Negative,-1.666760385,-1.630268445,-2.331658366,-2.877100068,shared,shared
29,STOX2,STOX1,Negative,none,-1.654876794,-1.439998308,-1.034745481,-0.71233092,shared,none
30,PTGS2,PTGS1,Negative,none,-1.6470517,-1.670061249,-0.236210403,-0.055687471,shared,none
31,STAM,STAM2,Negative,Negative,-1.621655385,-1.919913922,-1.391946922,-1.374199629,shared,shared
32,NDFIP2,NDFIP1,Negative,none,-1.577416659,-1.202204672,-0.032878498,0.312475261,unique_early,none
33,ARPC5,ARPC5L,Negative,none,-1.572267373,-1.833555276,-0.50661489,-0.112019647,unique_late,none
34,DERL2,DERL3,Negative,none,-1.563785693,-1.384228621,-1.15574824,-0.968907514,unique_early,none
35,CHD3,CHD5,Negative,Negative,-1.553972903,-1.895284441,-1.132927787,-0.68285348,shared,unique_early
36,TP53INP2,TP53INP1,none,none,-1.547723445,-0.783498497,0.580501296,-0.157475848,none,none
37,TNPO1,TNPO2,Negative,Negative,-1.537169892,-1.648249731,-1.111485375,-0.983093624,shared,unique_early
38,PAPSS1,PAPSS2,Negative,none,-1.530180948,-2.003695508,-0.73962727,-0.579796566,unique_late,none
39,ATXN1L,ATXN1,Negative,none,-1.525640101,-1.53919818,-0.23104074,0.446126587,shared,none
40,PPP2R5C,PPP2R5D,Negative,none,-1.505659177,-1.416276255,-0.3571365,0.070070436,shared,none
41,CCNT1,CCNT2,Negative,none,-1.497064033,-1.369872165,-0.195755505,0.090565282,unique_early,none
42,CTPS1,CTPS2,Negative,none,-1.476636913,-1.135247403,0.079968184,0.436836864,unique_early,none
43,RHOT2,RHOT1,none,none,-1.472632841,-1.829793591,-0.863901801,-0.593568123,none,none
44,SS18,SS18L1,Negative,none,-1.468523083,-1.79089778,-1.229384922,-1.342630494,unique_early,none
45,CDK2AP1,CDK2AP2,Negative,none,-1.449600526,-1.709502304,-1.382058631,-1.50814168,shared,none
46,SLC25A13,SLC25A12,Negative,none,-1.444349169,-1.974239792,-0.036474152,0.209663468,shared,none
47,RC3H2,RC3H1,Negative,none,-1.444179244,-1.419217851,-0.505779337,-0.574762679,shared,none
48,FBXW11,BTRC,Negative,Negative,-1.443539056,-1.544745691,-1.322023627,-1.391527029,shared,shared
49,SFXN4,SFXN5,Negative,none,-1.442975763,-1.414965726,-1.017174282,-0.741434036,shared,none
50,SSH1,SSH2,none,none,-1.426829931,-1.584732339,-0.600344119,-0.480659024,none,none
51,CHCHD3,CHCHD6,none,none,-1.424082204,-1.340194409,-1.317887408,-1.241902505,none,none
52,IMPDH2,IMPDH1,Negative,none,-1.422986082,-1.420223571,-0.06676145,-0.220696288,unique_late,none
53,MYC,MYCN,none,none,-1.418758609,-1.413082649,0.201854762,0.726952592,none,none
54,SPIRE1,SPIRE2,Negative,none,-1.410525553,-1.394043168,-0.538602331,-0.330256485,unique_early,none
55,MAP2K2,MAP2K1,Negative,none,-1.402490083,-1.817322127,-1.260778328,-1.093572279,shared,none
56,CSNK1D,CSNK1E,Negative,none,-1.39583576,-1.579976812,-1.351239685,-1.420249958,unique_early,none
57,ACTR1A,ACTR1B,none,none,-1.394547691,-0.978675419,-0.291129477,0.103223441,none,none
58,RHOBTB2,RHOBTB1,Negative,none,-1.384380198,-1.258708458,-0.567506223,-0.514458252,unique_early,none
59,LMO7,LIMCH1,Negative,none,-1.374836667,-0.942771821,-1.252027841,-1.142454446,shared,none
60,SP3,SP1,Negative,none,-1.371683607,-1.866539734,-0.061908735,0.223605397,shared,none
61,CAB39,CAB39L,Negative,none,-1.362150138,-1.364826461,-0.490102186,0.038891916,shared,none
62,APBA3,APBA2,Negative,none,-1.360599347,-1.058896275,-0.320988157,-0.283834837,unique_early,none
63,DNAJA1,DNAJA4,Negative,Negative,-1.337875532,-1.341725435,-0.840195293,-0.888029598,shared,shared
64,DDHD2,SEC23IP,Negative,none,-1.329865153,-1.375953455,0.905055301,1.589664664,shared,none
65,MECOM,PRDM16,Negative,none,-1.328243876,-1.400578879,-1.200644575,-1.159729178,shared,none
66,HOXB2,HOXA2,Negative,none,-1.308831746,-1.671071828,0.048788742,0.468430024,shared,none
67,STRADB,STRADA,Negative,none,-1.302097956,-1.862579066,0.48133765,0.45248894,shared,none
68,KCTD5,KCTD2,Negative,none,-1.293535831,-1.025195677,-1.049531262,-0.902556462,unique_early,none
69,SPARC,SPARCL1,Negative,Negative,-1.293309651,-0.93758772,-1.041706971,-1.139846076,shared,shared
70,GNPDA1,GNPDA2,Negative,Negative,-1.289614087,-1.289925347,-1.28490637,-1.004720624,shared,unique_early
71,PEX5,PEX5L,Negative,none,-1.273004173,-1.083559161,-0.305593888,0.161690778,shared,none
72,MSX1,MSX2,none,none,-1.265346086,-1.490108145,-0.018081197,0.001430348,none,none
73,IFRD2,IFRD1,Negative,Negative,-1.264188793,-1.597173195,-0.926142269,-1.001316716,shared,unique_early
74,TPM2,TPM1,Negative,none,-1.263942651,-1.352073467,0.018238844,0.109972478,shared,none
75,RBM26,RBM27,Negative,Negative,-1.252895126,-1.142243786,-1.320006625,-1.697837505,shared,shared
76,KIF1C,KIF1B,Negative,Negative,-1.251123837,-1.167208483,-1.136402294,-0.974979561,shared,unique_early
77,KMT2A,KMT2B,Negative,Negative,-1.238013966,-1.137291632,-0.781653058,-0.982100461,unique_early,unique_late
78,MIEF1,MIEF2,Negative,Negative,-1.233272164,-1.105578518,-0.84902368,-0.736031059,shared,unique_early
79,NEDD4L,NEDD4,Negative,none,-1.229237102,-0.916748615,1.363546051,1.519196047,unique_early,none
80,CSNK2A1,CSNK2A2,none,none,-1.22251717,-1.27371606,-1.15164792,-1.080592948,none,none
81,SPECC1,SPECC1L,Negative,none,-1.218983824,-1.053342377,-0.799763388,-0.556658629,unique_early,none
82,PSEN1,PSEN2,Negative,Negative,-1.214835721,-1.105022799,-1.445940271,-1.393016029,unique_late,shared
83,SEC31A,SEC31B,Negative,none,-1.214788416,-1.166797131,-0.943451805,-0.86083352,shared,none
84,PARP6,PARP8,Negative,Negative,-1.206692238,-1.315392402,-1.206430548,-1.156077239,shared,shared
85,PPIG,NKTR,Negative,none,-1.203839571,-1.243672056,-0.819752921,-0.887508924,unique_early,none
86,KLF13,KLF9,Negative,Negative,-1.199237163,-1.498779718,-1.19973143,-1.177327251,shared,shared
87,ARL8B,ARL8A,none,none,-1.186613034,-1.17351778,0.090918881,0.150125272,none,none
88,FAM102A,FAM102B,Negative,Negative,-1.177009782,-1.481676673,-1.440010757,-1.340634939,shared,shared
89,FBN1,FBN2,Negative,none,-1.164566244,-1.180599605,0.455399821,0.58233164,shared,none
90,YIF1B,YIF1A,Negative,none,-1.158667838,-1.184842821,-0.056593482,-0.037139013,unique_early,none
91,MED13,MED13L,Negative,none,-1.144369029,-1.475284019,-0.508876071,-0.615650569,shared,none
92,DVL1,DVL3,Negative,none,-1.143972496,-1.192878956,-0.438327579,-0.43329499,unique_early,none
93,CALB2,CALB1,Negative,none,-1.140174288,-1.143454389,-0.945798088,-0.577236071,shared,none
94,CASKIN2,CASKIN1,none,none,-1.139723727,-1.169167694,-0.286949774,-0.045352922,none,none
95,PDP1,PDP2,Negative,none,-1.135953276,-1.53345995,-0.631984375,-0.482213343,shared,none
96,RBM12,RBM12B,none,none,-1.130691972,-1.072489826,-0.443269148,0.049412361,none,none
97,PPIB,PPIC,Negative,none,-1.122782495,-1.27495031,-0.760799907,-0.530367576,shared,none
98,TRAK1,TRAK2,none,none,-1.116414975,-0.812934617,-0.227805629,0.430487442,none,none
99,SETD1A,SETD1B,none,Negative,-1.114741992,-0.976488711,-1.537814262,-1.86559893,none,shared
100,RNFT1,RNFT2,Negative,none,-1.113980311,-1.030717319,-0.466272871,-0.27047106,shared,none
101,VSNL1,HPCAL4,Negative,none,-1.109292592,-1.293610044,-1.19464924,-0.828375095,unique_late,none
102,TBC1D10B,TBC1D10A,Negative,none,-1.105010675,-1.396555246,-1.390550931,-1.19119324,shared,none
103,STX10,STX6,none,none,-1.09658456,-1.396108091,0.035943036,0.036333417,none,none
104,ENO1,ENO2,Negative,Negative,-1.096413124,-1.551117407,-0.953643968,-1.009756792,shared,shared
105,ZNF609,ZNF608,Negative,none,-1.095850869,-0.51601736,-0.959390507,-0.719222808,unique_early,none
106,TSPAN4,TSPAN9,none,none,-1.08864848,-1.071986106,-0.873529476,-1.577748963,none,none
107,STK38L,STK38,none,Positive,-1.088226806,-0.45513097,1.648507522,2.221061086,none,shared
108,POC1A,POC1B,none,none,-1.083770816,-0.197635575,1.015610867,1.316681395,none,none
109,AGPAT3,AGPAT4,Negative,none,-1.077118338,-1.543211066,0.460223449,0.996252427,unique_late,none
110,SLC25A36,SLC25A33,Negative,none,-1.064566098,-1.360825493,-0.154677971,0.074389588,shared,none
111,SERINC3,SERINC2,Negative,Negative,-1.059969217,-1.210231524,-1.526380103,-1.23844784,shared,shared
112,KLHL2,KLHL3,Negative,none,-1.058375721,-0.404504119,-0.852867154,-0.73184151,unique_early,none
113,ANK3,ANK2,Negative,none,-1.056683783,-1.226250777,-0.892231883,-0.561248932,shared,none
114,TTC39A,TTC39B,Negative,none,-1.052388907,-1.230452615,-0.687444862,-0.542311003,shared,none
115,RALGPS2,RALGPS1,Negative,none,-1.051281754,-0.830563569,-0.344793641,0.339716938,unique_early,none
116,TOP1,TOP1MT,none,none,-1.049384397,-1.183636904,-1.864732258,-1.577078704,none,none
117,NDE1,NDEL1,Negative,none,-1.045292688,-1.114820385,-0.553115838,-0.506668119,unique_late,none
118,PPFIA1,PPFIA3,Negative,none,-1.039368148,-1.184642109,-0.640243369,-0.50172226,unique_late,none
119,PI4K2B,PI4K2A,Negative,none,-1.034458361,-0.522151779,0.135561743,0.242170088,unique_early,none
120,H2AFY,H2AFY2,none,none,-1.033594669,-0.986932687,-0.912797857,-0.609212819,none,none
121,SCAF4,SCAF8,Negative,Negative,-1.031637791,-1.382581466,-0.911369656,-0.626432733,shared,unique_early
122,CREBBP,EP300,Negative,none,-1.02715029,-0.772344002,-0.315437462,-0.205925349,unique_early,none
123,ENSA,ARPP19,none,none,-1.024949528,0.014719508,-1.089240769,-0.851612704,none,none
124,MAN2A2,MAN2A1,Negative,none,-1.022097209,-0.648704513,0.817149641,0.943677585,unique_early,none
