A375,Mewo,RPE
AP2A2_AP2A1,ARID1A_ARID1B,ALAS1_ALAS2
ARID4B_ARID4A,EAF1_EAF2,ALKBH4_ATR
ASF1A_ASF1B,ARPC5_ARPC5L,ARFGEF1_ARFGEF2
CCNL2_CCNL1,SRRM3_SRRM2,ARPC1A_ARPC1B
CDS1_CDS2,CCNT2_CCNT1,ASF1A_ASF1B
CHMP1B_CHMP1A,CHML_CHM,ATP6V1C2_ATP6V1C1
CLASP1_CLASP2,UAP1_UAP1L1,CCNI2_CCNI
CNOT8_CNOT7,CPPED1_ASPM,CCNT2_CCNT1
CSTF2T_CSTF2,CRK_CRKL,CDK13_CDK12
DNAJC6_GAK,FAM50B_FAM50A,CDS1_CDS2
DYNC1LI1_DYNC1LI2,DDX39B_DDX39A,CHML_CHM
DYNLT1_DYNLT3,DSN1_HTT,CLASP1_CLASP2
EAF1_EAF2,DSN1_SRRM2,CNOT8_CNOT7
EXOC3L1_EXOC3,SAR1B_SAR1A,CPPED1_ASPM
FAM50B_FAM50A,EPC2_EPC1,CSTF2T_CSTF2
FKBP5_FKBP4,FAH_EXO1,DAGLA_DAGLB
FNIP2_FNIP1,G3BP2_G3BP1,DCP1A_DCP1B
G3BP2_G3BP1,TTC7A_TTC7B,EGFR_PRKCE
GNB5_ASPM,IDH3B_IDH3G,ELL2_ELL
HOMER3_HNRNPA2B1,GNPDA2_DSN1,FAM50B_FAM50A
IDE_NRDC,HOMER3_DSN1,FBXW7_FEN1
IDH3B_IDH3G,LARP1B_LARP1,G3BP2_G3BP1
KAT2B_KAT2A,INPP5K_ASPM,GCFC2_PAXBP1
LARP1B_LARP1,KMT2A_KMT2B,GRB10_CCNB1
PARP2_RAD21,MLKL_EXO1,HOMER3_HNRNPA2B1
PTPRS_ASPM,ASF1A_ASF1B,IDE_NRDC
RANBP17_XPO7,RAD54L_NDUFA9,LARP1B_LARP1
RANBP6_IPO5,RAD54L_PFDN5,LIMK2_LIMK1
SAR1B_SAR1A,RIN2_EXO1,MET_VHL
SCO1_SCO2,RNF135_ASPM,NAV1_CCNB1
SEC23A_SEC23B,RPP25L_RPP25,NCK2_NCK1
SEC24B_SEC24A,RRAGC_RRAGD,PARP1_RAD21
SEPHS1_SEPHS2,RRAS_ASPM,PARP1_STAG3
SLC25A37_SLC25A28,CLASP1_CLASP2,PARP2_RAD21
SMARCA2_SMARCA4,SLC25A37_SLC25A28,PARP2_STAG3
SNRPB2_SNRPA,CNOT8_CNOT7,PEX5L_PEX5
SRRM3_SRRM2,TMEM101_DSN1,PLEKHO1_CCNB1
TASP1_ASRGL1,UPF3A_UPF3B,PPA2_PPA1
TNFRSF1A_HNRNPA2B1,CSTF2T_CSTF2,PSENEN_AC002398.9
TTC7A_TTC7B,CHMP1B_CHMP1A,RANBP6_IPO5
UAP1_UAP1L1,,RB1_SKP2
XRCC1_PARG,,RHPN1_RHPN2
YIF1A_YIF1B,,SAR1B_SAR1A
ZC3H6_ZC3H4,,SMARCA2_SMARCA4
,,SMUG1_SMG1
,,STXBP6_EXOC1
,,TAF5L_TAF5
,,TLK1_TLK2
,,TMEM185B_TMEM185A
,,TNFRSF1A_HNRNPA2B1
,,TTC7A_TTC7B
,,USP38_USP35
,,USP42_USP36
,,XYLT1_XYLT2
,,YIF1A_YIF1B
,,ZC3H6_ZC3H4
,,ZNF175_EXO1
,,
,,
,,
,,
,,
,,
