"","V1","V2","V3","V4","hct116.T21.gi","hct116.T21.gi.sd","qvalue.x","significant.x","GM.T15.gi","GM.T15.gi.sd","qvalue.y","significant.y","genename.x","genename.y","gi"
"1","choose","pair","ENSG00000139579","ENSG00000173559",-3.59748978357834,0.176263209532883,5.26595162493708e-90,"Y",-4.30051563961642,0.225982587735998,3.66089676930178e-78,"Y","NABP2","NABP1","negative GI"
"2","choose","pair","ENSG00000116350","ENSG00000124193",-1.59441979079232,0.158820497861744,1.97198024215086e-21,"Y",-2.04999301299396,0.202076039644963,6.69355435138221e-22,"Y","SRSF4","SRSF6","negative GI"
"3","choose","pair","ENSG00000072864","ENSG00000166579",-1.42375842851969,0.30178097125715,7.0495399955718e-05,"Y",-2.35843078197518,0.325186590654321,5.2148592989925e-11,"Y","NDE1","NDEL1","negative GI"
"4","gi1","pair","ENSG00000117713","ENSG00000049618",-1.17421747400105,0.176587889578727,2.82734566659651e-09,"Y",-1.1294986156346,0.232240190445133,7.35240975711571e-05,"Y","ARID1A","ARID1B","negative GI"
"5","choose","pair","ENSG00000164087","ENSG00000139323",-1.02223777177712,0.22094768620144,0.000102086846258673,"Y",-2.55784017621721,0.411676025583357,4.96336822880747e-08,"Y","POC1A","POC1B","negative GI"
"6","choose","pair","ENSG00000221978","ENSG00000163660",-1.66005437691969,0.198024895389922,6.60950631443696e-15,"Y",-1.32125034412848,0.290785339918689,0.000301995746246507,"Y","CCNL2","CCNL1","negative GI"
"7","choose","pair","ENSG00000121892","ENSG00000083642",-1.62691732541289,0.325877444668129,2.54740540400782e-05,"Y",-2.0938794869307,0.497138972324798,0.000968784930243636,"Y","PDS5A","PDS5B","negative GI"
"8","choose","pair","ENSG00000108591","ENSG00000185721",-1.54494069408909,0.281933679889184,2.33887224303564e-06,"Y",-1.36284674344324,0.341808117483437,0.00213136603849878,"Y","DRG2","DRG1","negative GI"
"9","gi1","pair","ENSG00000080503","ENSG00000127616",-1.20948102627838,0.317879652575088,0.0030310610648158,"Y",-2.02798941668848,0.414255199952288,7.35240975711571e-05,"Y","SMARCA2","SMARCA4","negative GI"
"10","choose","pair","ENSG00000255112","ENSG00000131165",-2.06717169336105,0.469511865879478,0.000272641082588535,"Y",-1.25752893360834,0.326632774032621,0.00301227736667245,"Y","CHMP1B","CHMP1A","negative GI"
"11","choose","pair","ENSG00000124198","ENSG00000066777",-1.60428838218122,0.36656022217177,0.000272641082588535,"Y",-1.87982977946084,0.581809609368586,0.0181475308512852,"Y","ARFGEF2","ARFGEF1","negative GI"
