V1,V3,V4,gene1,gene2,hct116.T21.gi.GEMINI,GM.T15.gi.GEMINI,hct116.significant.GEMINI,GM12878.significant.GEMINI
choose,ENSG00000139579,ENSG00000173559,NABP2,NABP1,3.405,4.313,Y,Y
choose,ENSG00000116350,ENSG00000124193,SRSF4,SRSF6,0.712,2.18,Y,Y
choose,ENSG00000121892,ENSG00000083642,PDS5A,PDS5B,1.39,1.821,Y,Y
choose,ENSG00000023445,ENSG00000101966,BIRC3,XIAP,1.137,0.9,Y,N
gi2,ENSG00000175054,ENSG00000164078,ATR,MST1R,0.785,0.968,Y,N
gi1,ENSG00000080503,ENSG00000127616,SMARCA2,SMARCA4,0.498,1.168,N,Y
choose,ENSG00000072864,ENSG00000166579,NDE1,NDEL1,1.081,1.102,Y,Y
choose,ENSG00000164087,ENSG00000139323,POC1A,POC1B,0.768,1.644,Y,Y
gi1,ENSG00000117713,ENSG00000049618,ARID1A,ARID1B,-1.024,1.252,N,Y
choose,ENSG00000152413,ENSG00000051128,HOMER1,HOMER3,0.121,1.217,N,Y
choose,ENSG00000124198,ENSG00000066777,ARFGEF2,ARFGEF1,1.053,1.592,Y,Y
choose,ENSG00000113732,ENSG00000171130,ATP6V0E1,ATP6V0E2,0.972,1.183,Y,Y
choose,ENSG00000221978,ENSG00000163660,CCNL2,CCNL1,0.858,1.145,Y,Y
choose,ENSG00000108591,ENSG00000185721,DRG2,DRG1,1.334,0.758,Y,N
choose,ENSG00000113100,ENSG00000113361,CDH9,CDH6,0.752,0.563,Y,N
gi1,ENSG00000100030,ENSG00000102882,MAPK1,MAPK3,0.767,0.096,Y,N
gi1,ENSG00000169032,ENSG00000126934,MAP2K1,MAP2K2,0.968,0.118,Y,N
choose,ENSG00000147454,ENSG00000155287,SLC25A37,SLC25A28,0.066,0.465,N,N
choose,ENSG00000121390,ENSG00000147140,PSPC1,NONO,0.686,0.578,Y,N
choose,ENSG00000146729,ENSG00000184117,GBAS,NIPSNAP1,0.683,0.188,Y,N
choose,ENSG00000255112,ENSG00000131165,CHMP1B,CHMP1A,0.526,0.286,N,N
gi1,ENSG00000137693,ENSG00000018408,YAP1,WWTR1,0.654,-0.157,N,N
choose,ENSG00000177463,ENSG00000120798,NR2C2,NR2C1,-0.073,-0.214,N,N
choose,ENSG00000145088,ENSG00000144597,EAF2,EAF1,0.612,1.189,N,Y
gi2,ENSG00000011376,ENSG00000132356,LARS2,PRKAA1,-0.415,0.645,N,N
choose,ENSG00000108654,ENSG00000100201,DDX5,DDX17,1.017,0.307,Y,N
choose,ENSG00000140650,ENSG00000100417,PMM2,PMM1,-0.03,1.191,N,Y
choose,ENSG00000250479,ENSG00000106153,CHCHD10,CHCHD2,0.327,1.39,N,Y
choose,ENSG00000171843,ENSG00000130382,MLLT3,MLLT1,0.125,0.691,N,N
choose,ENSG00000116001,ENSG00000151923,TIA1,TIAL1,-1.026,1.084,N,Y
gi2,ENSG00000164045,ENSG00000105851,CDC25A,PIK3CG,-0.376,-0.117,N,N
choose,ENSG00000115145,ENSG00000136738,STAM2,STAM,0.057,0.867,N,N
choose,ENSG00000055609,ENSG00000167548,KMT2C,KMT2D,-1.254,0.813,N,N
choose,ENSG00000136720,ENSG00000185352,HS6ST1,HS6ST3,-0.33,-0.53,N,N
choose,ENSG00000092847,ENSG00000123908,AGO1,AGO2,0.021,0.243,N,N
choose,ENSG00000159592,ENSG00000062194,GPBP1L1,GPBP1,-0.095,0.885,N,N
choose,ENSG00000164440,ENSG00000084652,TXLNB,TXLNA,-0.055,-0.375,N,N
choose,ENSG00000184916,ENSG00000101384,JAG2,JAG1,-0.318,-0.059,N,N
choose,ENSG00000143373,ENSG00000074657,ZNF687,ZNF532,0.309,0.728,N,N
gi1,ENSG00000171552,ENSG00000143384,BCL2L1,MCL1,-1.551,-0.348,N,N
choose,ENSG00000143418,ENSG00000090661,CERS2,CERS4,0.433,0.355,N,N
choose,ENSG00000168003,ENSG00000138079,SLC3A2,SLC3A1,0.161,0.43,N,N
choose,ENSG00000101251,ENSG00000071537,SEL1L2,SEL1L,0.306,0.609,N,N
choose,ENSG00000110711,ENSG00000129221,AIP,AIPL1,0.149,0.419,N,N
choose,ENSG00000141425,ENSG00000101413,RPRD1A,RPRD1B,0.801,1.339,Y,Y
choose,ENSG00000084112,ENSG00000141298,SSH1,SSH2,0.4,1.384,N,Y
choose,ENSG00000092203,ENSG00000103460,TOX4,TOX3,-0.614,1.475,N,Y
choose,ENSG00000120738,ENSG00000179388,EGR1,EGR3,-0.026,1.004,N,Y
choose,ENSG00000180304,ENSG00000104904,OAZ2,OAZ1,-0.589,1.239,N,Y
choose,ENSG00000114859,ENSG00000188037,CLCN2,CLCN1,-0.215,0.476,N,N
gi2,ENSG00000164045,ENSG00000173039,CDC25A,RELA,-0.781,0.362,N,N
choose,ENSG00000118520,ENSG00000081181,ARG1,ARG2,0.196,0.872,N,N
choose,ENSG00000136928,ENSG00000204681,GABBR2,GABBR1,0.011,0.483,N,N
choose,ENSG00000116604,ENSG00000068305,MEF2D,MEF2A,0.016,0.897,N,N
choose,ENSG00000172354,ENSG00000078369,GNB2,GNB1,0.77,-0.123,Y,N
gi2,ENSG00000105486,ENSG00000143799,LIG1,PARP1,1.192,-0.439,Y,N
choose,ENSG00000071575,ENSG00000173334,TRIB2,TRIB1,0.706,0.093,Y,N
choose,ENSG00000082701,ENSG00000105723,GSK3B,GSK3A,0.803,0.671,Y,N
choose,ENSG00000153558,ENSG00000108306,FBXL2,FBXL20,0.895,-0.29,Y,N
choose,ENSG00000014216,ENSG00000092529,CAPN1,CAPN3,0.736,0.49,Y,N
choose,ENSG00000257923,ENSG00000111249,CUX1,CUX2,0.725,0.317,Y,N
choose,ENSG00000100650,ENSG00000124193,SRSF5,SRSF6,-0.172,1.088,N,Y
gi2,ENSG00000115170,ENSG00000149311,ACVR1,ATM,-0.377,1.157,N,Y
gi2,ENSG00000141279,ENSG00000167900,NPEPPS,TK1,-0.365,1.135,N,Y
choose,ENSG00000153404,ENSG00000165801,PLEKHG4B,ARHGEF40,0.34,1.09,N,Y
choose,ENSG00000186283,ENSG00000136816,TOR3A,TOR1B,-0.03,1.347,N,Y
choose,ENSG00000157954,ENSG00000070540,WIPI2,WIPI1,0.207,0.555,N,N
choose,ENSG00000162636,ENSG00000167106,FAM102B,FAM102A,0.151,0.099,N,N
choose,ENSG00000260027,ENSG00000122592,HOXB7,HOXA7,0.273,0.082,N,N
choose,ENSG00000160633,ENSG00000130254,SAFB,SAFB2,0.157,0.163,N,N
choose,ENSG00000143499,ENSG00000115593,SMYD2,SMYD1,0.116,0.27,N,N
choose,ENSG00000108389,ENSG00000100330,MTMR4,MTMR3,0.285,0.593,N,N
choose,ENSG00000047457,ENSG00000089472,CP,HEPH,-0.041,0.2,N,N
choose,ENSG00000036565,ENSG00000165646,SLC18A1,SLC18A2,0.567,0.378,N,N
choose,ENSG00000160953,ENSG00000157502,MUM1,MUM1L1,0.181,0.141,N,N
choose,ENSG00000138767,ENSG00000113300,CNOT6L,CNOT6,-0.07,-0.187,N,N
gi1,ENSG00000148218,ENSG00000105220,ALAD,GPI,0.308,0.693,N,N
choose,ENSG00000131788,ENSG00000033800,PIAS3,PIAS1,0.514,0.856,N,N
choose,ENSG00000144278,ENSG00000141429,GALNT13,GALNT1,-0.003,0.473,N,N
choose,ENSG00000185043,ENSG00000141977,CIB1,CIB3,0.232,0.257,N,N
choose,ENSG00000075711,ENSG00000150672,DLG1,DLG2,0.428,0.042,N,N
choose,ENSG00000150672,ENSG00000132535,DLG2,DLG4,0.22,0.28,N,N
choose,ENSG00000073756,ENSG00000095303,PTGS2,PTGS1,0.229,0.615,N,N
gi2,ENSG00000164045,ENSG00000132356,CDC25A,PRKAA1,-0.766,0.12,N,N
choose,ENSG00000198643,ENSG00000071889,FAM3D,FAM3A,-0.401,0.008,N,N
choose,ENSG00000116704,ENSG00000130958,SLC35D1,SLC35D2,0.407,0.474,N,N
choose,ENSG00000116688,ENSG00000171109,MFN2,MFN1,-0.633,-2.286,N,N
choose,ENSG00000131626,ENSG00000177380,PPFIA1,PPFIA3,-0.146,0.093,N,N
choose,ENSG00000112893,ENSG00000196547,MAN2A1,MAN2A2,0.383,0.212,N,N
choose,ENSG00000114861,ENSG00000128573,FOXP1,FOXP2,-0.017,0.348,N,N
choose,ENSG00000163110,ENSG00000122367,PDLIM5,LDB3,0.357,0.057,N,N
choose,ENSG00000168824,ENSG00000170091,NSG1,NSG2,-0.337,0.525,N,N
choose,ENSG00000069869,ENSG00000049759,NEDD4,NEDD4L,0.179,0.376,N,N
gi2,ENSG00000149311,ENSG00000085511,ATM,MAP3K4,-1.629,0.216,N,N
choose,ENSG00000164715,ENSG00000181409,LMTK2,AATK,0.584,0.029,N,N
choose,ENSG00000081059,ENSG00000148737,TCF7,TCF7L2,0.127,0.059,N,N
gi2,ENSG00000141068,ENSG00000170190,KSR1,SLC16A5,0.338,-0.05,N,N
choose,ENSG00000115183,ENSG00000170921,TANC1,TANC2,0.035,0.047,N,N
choose,ENSG00000120756,ENSG00000102024,PLS1,PLS3,0.104,-0.286,N,N
choose,ENSG00000136167,ENSG00000102024,LCP1,PLS3,0.031,-0.005,N,N
choose,ENSG00000156510,ENSG00000156515,HKDC1,HK1,0.003,0.323,N,N
choose,ENSG00000168591,ENSG00000164897,TMUB2,TMUB1,0.42,0.532,N,N
gi2,ENSG00000068078,ENSG00000115138,FGFR3,POMC,0.174,-0.29,N,N
choose,ENSG00000071282,ENSG00000135269,LMCD1,TES,-0.117,0.05,N,N
choose,ENSG00000131779,ENSG00000166821,PEX11B,PEX11A,0.12,-0.242,N,N
choose,ENSG00000114544,ENSG00000133065,SLC41A3,SLC41A1,0.326,0.657,N,N
choose,ENSG00000185122,ENSG00000102878,HSF1,HSF4,-0.257,0.14,N,N
choose,ENSG00000169062,ENSG00000125351,UPF3A,UPF3B,-0.783,0.727,N,N
choose,ENSG00000092607,ENSG00000112837,TBX15,TBX18,-0.024,0.301,N,N
choose,ENSG00000039560,ENSG00000137831,RAI14,UACA,-0.067,-0.202,N,N
choose,ENSG00000026652,ENSG00000160216,AGPAT4,AGPAT3,0.432,0.191,N,N
choose,ENSG00000048052,ENSG00000108840,HDAC9,HDAC5,-0.022,-0.238,N,N
choose,ENSG00000058799,ENSG00000130733,YIPF1,YIPF2,0.517,0.88,N,N
