"","pair","N","Y","gene1","gene2","Ours","HCT116.gi","GM12878.gi","Dede","A549.gi","HT29.gi","OVCAR8.gi","Phoebe","PC9.gi","HeLa.gi","Nicola","A375.gi","Mewo.gi","RPE1.gi","report","sum","cells","half","robust"
"1","CNOT8.CNOT7",0,8,"CNOT8","CNOT7",NA,NA,NA,"Negative","Y","Y","Y","Negative","Y","Y","Negative","Y","Y","Y","novel",8,">=7 cell lines","Major","Robust"
"2","ARFGEF2.ARFGEF1",3,7,"ARFGEF2","ARFGEF1","Negative","Y","Y","Negative","N","Y","Y","Negative","Y","Y","Negative","N","N","Y","novel",10,">=7 cell lines","Major","Robust"
"3","SAR1B.SAR1A",1,7,"SAR1B","SAR1A",NA,NA,NA,"Negative","Y","Y","Y","Negative","Y","N","Negative","Y","Y","Y","novel",8,">=7 cell lines","Major","Robust"
"4","CHMP1B.CHMP1A",1,6,"CHMP1B","CHMP1A","Negative","Y","Y",NA,NA,NA,NA,"Negative","Y","Y","Negative","Y","Y","N","Reported",7,">=7 cell lines","Major","Robust"
"5","GSK3B.GSK3A",1,6,"GSK3B","GSK3A","Negative","Y","N","Negative","Y","Y","Y","Negative","Y","Y",NA,NA,NA,NA,"novel",7,">=7 cell lines","Major","Robust"
"6","SLC25A37.SLC25A28",1,6,"SLC25A37","SLC25A28","Negative","Y","Y",NA,NA,NA,NA,"Negative","Y","Y","Negative","Y","Y","N","Reported",7,">=7 cell lines","Major","Robust"
"7","TIAL1.TIA1",1,6,"TIAL1","TIA1","Negative","N","Y","Negative","Y","Y","Y","Negative","Y","Y",NA,NA,NA,NA,"Reported",7,">=7 cell lines","Major","Robust"
"8","CCNL2.CCNL1",2,5,"CCNL2","CCNL1","Negative","Y","Y",NA,NA,NA,NA,"Negative","Y","Y","Negative","Y","N","N","Reported",7,">=7 cell lines","Major","Robust"
"9","CSTF2T.CSTF2",0,5,"CSTF2T","CSTF2",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y","Negative","Y","Y","Y","Reported",5,"4-6 cell lines","Major","Robust"
"10","MAPK3.MAPK1",0,5,"MAPK3","MAPK1",NA,NA,NA,"Negative","Y","Y","Y","Negative","Y","Y",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Major","Robust"
