gene1,gene2,type,CC_sum,MF_sum,BP_sum
CNOT8,CNOT7,Robust,14,11,25
ARFGEF2,ARFGEF1,Robust,15,7,14
SAR1B,SAR1A,Robust,8,5,17
CHMP1B,CHMP1A,Robust,16,9,25
GSK3B,GSK3A,Robust,25,27,79
SLC25A37,SLC25A28,Robust,0,3,2
TIAL1,TIA1,Robust,9,4,6
CCNL2,CCNL1,Robust,6,4,2
CSTF2T,CSTF2,Robust,10,7,9
MAPK3,MAPK1,Robust,32,14,85
NDEL1,NDE1,Robust,12,6,26
ASF1B,ASF1A,Robust,8,5,10
FAM50B,FAM50A,Robust,7,2,2
HSP90AB1,HSP90AA1,Robust,42,44,60
PITPNB,PITPNA,Robust,6,26,8
EAF2,EAF1,Robust,8,4,7
PDS5B,PDS5A,Robust,17,3,10
PMM2,PMM1,Robust,7,5,8
CAPZA2,CAPZA1,Robust,12,6,16
CDS2,CDS1,Robust,7,5,7
CHML,CHM,Robust,15,6,11
CLASP2,CLASP1,Robust,39,13,60
DDX39B,DDX39A,Robust,13,17,19
LARP1B,LARP1,Robust,7,14,13
SEC23B,SEC23A,Robust,14,5,8
TLK2,TLK1,Robust,8,10,20
NABP2,NABP1,Robust,15,7,20
CSNK1E,CSNK1D,Robust,18,13,40
CSNK2A2,CSNK2A1,Robust,22,14,34
DDX19B,DDX19A,Robust,9,8,4
DNAJA2,DNAJA1,Robust,12,14,11
KDELR2,KDELR1,Robust,18,5,9
PTP4A2,PTP4A1,Robust,8,5,2
TTC7B,TTC7A,Robust,4,1,7
ARID1B,ARID1A,Robust,14,6,14
DMXL2,DMXL1,Robust,4,1,2
SMARCA4,SMARCA2,Robust,19,23,38
ATP6V0A2,ATP6V0A1,Robust,19,7,16
ATP6V1C2,ATP6V1C1,Robust,9,4,9
EIF1B,EIF1,Robust,5,11,1
EPC2,EPC1,Robust,9,3,11
FAM126B,FAM126A,Robust,4,2,6
HDAC2,HDAC1,Robust,25,35,52
SNRPB2,SNRPA,Robust,16,8,7
UAP1L1,UAP1,Robust,4,3,3
DDX5,DDX17,Robust,19,19,28
IDH3G,IDH3B,Robust,8,5,6
NRDC,IDE,Robust,18,13,24
PAPOLG,PAPOLA,Robust,11,7,8
SRRM3,SRRM2,Robust,7,5,3
ZC3H6,ZC3H4,Robust,7,4,1
AKIRIN2,AKIRIN1,Robust,9,6,8
CKS2,CKS1B,Robust,5,10,2
DRG2,DRG1,Robust,14,11,7
IREB2,ACO1,Robust,12,21,11
POC1B,POC1A,Robust,8,2,4
RALB,RALA,Robust,13,20,19
RPL22L1,RPL22,Robust,7,8,6
RPS27L,RPS27,Robust,10,10,13
SRSF6,SRSF4,Robust,7,10,26
SSH2,SSH1,Robust,5,10,11
TRA2B,TRA2A,Robust,12,10,11
UBE2B,UBE2A,Robust,10,10,37
VAPB,VAPA,Robust,19,17,24
VPS4B,VPS4A,Robust,29,15,58
DYNC1LI2,DYNC1LI1,Robust,14,6,10
ROCK2,ROCK1,Robust,14,16,105
CCNE2,CCNE1,Robust,19,4,12
FNIP2,FNIP1,Robust,8,12,12
CAB39L,CAB39,Robust,7,7,13
CRKL,CRK,Robust,8,15,32
DYNLT3,DYNLT1,Robust,8,4,2
GABPB2,GABPB1,Robust,7,6,5
MEF2D,MEF2A,Robust,10,27,21
RRAGD,RRAGC,Robust,21,16,20
STK39,OXSR1,Robust,6,10,27
STX7,STX12,Robust,33,9,14
RRAGB,RRAGA,Robust,18,15,27
FKBP5,FKBP4,Robust,11,11,9
GAK,DNAJC6,Robust,13,5,17
RPP25L,RPP25,Robust,7,8,4
XYLT2,XYLT1,Robust,5,7,12
BRD3,BRD2,Robust,4,7,5
CDK6,CDK4,Robust,22,14,36
CHPT1,CEPT1,Robust,6,6,8
DYNLL2,DYNLL1,Robust,30,6,18
EP300,CREBBP,Robust,15,55,87
GDI2,GDI1,Robust,13,6,8
GFPT2,GFPT1,Robust,3,3,11
IMPDH2,IMPDH1,Robust,20,6,7
MBNL2,MBNL1,Robust,10,8,5
PFN2,PFN1,Robust,11,15,22
PRKAR1B,PRKAR1A,Robust,13,12,17
PTBP2,PTBP1,Robust,6,7,17
SLC20A2,SLC20A1,Robust,7,6,6
STAG2,STAG1,Robust,27,4,5
TIMM17B,TIMM17A,Robust,12,3,4
ZFP36L2,ZFP36L1,Robust,5,8,36
G3BP2,G3BP1,Conditional,10,9,8
AP2A2,AP2A1,Conditional,19,10,27
SEC24B,SEC24A,Conditional,13,8,14
SAFB2,SAFB,Conditional,10,8,7
STAM2,STAM,Conditional,13,3,17
ARPC1B,ARPC1A,Conditional,10,5,9
ARPC5L,ARPC5,Conditional,14,6,12
MED13L,MED13,Conditional,7,5,6
YIF1B,YIF1A,Conditional,15,2,3
COQ10B,COQ10A,Conditional,2,2,4
CCNT2,CCNT1,Conditional,16,13,21
COPS7B,COPS7A,Conditional,11,2,8
AP2B1,AP1B1,Conditional,18,8,13
DYNC1I2,DYNC1I1,Conditional,14,8,12
MAP2K2,MAP2K1,Conditional,24,21,35
RANBP6,IPO5,Conditional,6,9,4
SEPHS2,SEPHS1,Conditional,4,6,4
SHMT2,SHMT1,Conditional,23,29,43
UPF3B,UPF3A,Conditional,17,7,13
HNRNPD,HNRNPAB,Conditional,8,9,10
MFN2,MFN1,Conditional,9,8,20
PSPC1,NONO,Conditional,10,9,9
FNDC3B,FNDC3A,Conditional,2,2,0
MTMR4,MTMR3,Conditional,12,15,16
PUM2,PUM1,Conditional,13,14,23
PCMTD2,PCMTD1,Conditional,2,4,0
ACACB,ACACA,Conditional,8,7,10
ACSL4,ACSL3,Conditional,20,11,17
ALAS2,ALAS1,Conditional,9,6,13
ARL8B,ARL8A,Conditional,18,7,3
ATP6V1E2,ATP6V1E1,Conditional,5,5,8
CCT6B,CCT6A,Conditional,11,7,10
CHD2,CHD1,Conditional,3,6,4
COPG2,COPG1,Conditional,18,1,13
EEF1A2,EEF1A1,Conditional,18,13,9
KAT2B,KAT2A,Conditional,17,22,34
KATNAL1,KATNA1,Conditional,13,11,5
NCK2,NCK1,Conditional,11,10,29
OAZ2,OAZ1,Conditional,6,6,6
PAXBP1,GCFC2,Conditional,9,1,4
PPA2,PPA1,Conditional,6,5,7
PPP2R1B,PPP2R1A,Conditional,14,9,11
PSMB9,PSMB6,Conditional,18,5,53
PYCR2,PYCR1,Conditional,4,6,10
RABL2B,RABL2A,Conditional,6,3,4
RHPN2,RHPN1,Conditional,2,1,0
RRM2B,RRM2,Conditional,7,5,6
SEC11C,SEC11A,Conditional,4,4,2
SOS2,SOS1,Conditional,4,4,16
SPOPL,SPOP,Conditional,8,5,8
TMED7,TMED3,Conditional,25,0,10
TMEM161B,TMEM161A,Conditional,0,1,5
TMEM185B,TMEM185A,Conditional,1,1,0
TNKS2,TNKS,Conditional,21,13,42
TOP1MT,TOP1,Conditional,16,16,13
TOP2B,TOP2A,Conditional,18,23,16
XPO7,RANBP17,Conditional,7,4,3
ZNF76,ZNF143,Conditional,1,11,11
ARG2,ARG1,Conditional,11,7,12
MLLT3,MLLT1,Conditional,11,6,11
RPRD1B,RPRD1A,Conditional,8,6,9
TRAPPC6B,TRAPPC6A,Conditional,8,2,5
TRIB2,TRIB1,Conditional,4,7,13
USP49,USP44,Conditional,5,7,7
ARID4B,ARID4A,Conditional,12,5,4
CCNI2,CCNI,Conditional,6,3,4
CDK13,CDK12,Conditional,18,15,18
DAGLB,DAGLA,Conditional,10,3,16
DCP1B,DCP1A,Conditional,10,7,9
ELL2,ELL,Conditional,12,3,11
EXOC3L1,EXOC3,Conditional,4,6,4
