gene1,gene2,type,similarity.BMA,similarity.rcmax
CNOT8,CNOT7,Robust,0.687,0.75
ARFGEF2,ARFGEF1,Robust,0.611,0.614
SAR1B,SAR1A,Robust,0.622,0.702
CHMP1B,CHMP1A,Robust,0.659,0.69
GSK3B,GSK3A,Robust,0.649,0.697
SLC25A37,SLC25A28,Robust,0.65,0.75
TIAL1,TIA1,Robust,0.488,0.648
CCNL2,CCNL1,Robust,0.708,0.75
CSTF2T,CSTF2,Robust,0.716,0.727
MAPK3,MAPK1,Robust,0.719,0.721
NDEL1,NDE1,Robust,0.708,0.719
ASF1B,ASF1A,Robust,0.717,0.75
FAM50B,FAM50A,Robust,0.614,0.65
HSP90AB1,HSP90AA1,Robust,0.672,0.677
PITPNB,PITPNA,Robust,0.685,0.69
EAF2,EAF1,Robust,0.707,0.741
PDS5B,PDS5A,Robust,0.707,0.719
PMM2,PMM1,Robust,0.737,0.75
CAPZA2,CAPZA1,Robust,0.696,0.75
CDS2,CDS1,Robust,0.702,0.739
CHML,CHM,Robust,0.715,0.733
CLASP2,CLASP1,Robust,0.701,0.715
DDX39B,DDX39A,Robust,0.675,0.735
LARP1B,LARP1,Robust,0.243,0.667
SEC23B,SEC23A,Robust,0.559,0.679
TLK2,TLK1,Robust,0.677,0.693
NABP2,NABP1,Robust,0.717,0.75
CSNK1E,CSNK1D,Robust,0.664,0.689
CSNK2A2,CSNK2A1,Robust,0.703,0.718
DDX19B,DDX19A,Robust,0.608,0.642
DNAJA2,DNAJA1,Robust,0.589,0.689
KDELR2,KDELR1,Robust,0.719,0.75
PTP4A2,PTP4A1,Robust,0.618,0.68
TTC7B,TTC7A,Robust,0.667,0.75
ARID1B,ARID1A,Robust,0.654,0.708
DMXL2,DMXL1,Robust,0.5,0.75
SMARCA4,SMARCA2,Robust,0.635,0.715
ATP6V0A2,ATP6V0A1,Robust,0.655,0.715
ATP6V1C2,ATP6V1C1,Robust,0.696,0.705
EIF1B,EIF1,Robust,0.588,0.679
EPC2,EPC1,Robust,0.44,0.75
FAM126B,FAM126A,Robust,0.646,0.75
HDAC2,HDAC1,Robust,0.689,0.72
SNRPB2,SNRPA,Robust,0.653,0.679
UAP1L1,UAP1,Robust,0.375,0.75
DDX5,DDX17,Robust,0.672,0.702
IDH3G,IDH3B,Robust,0.658,0.667
NRDC,IDE,Robust,0.522,0.687
PAPOLG,PAPOLA,Robust,0.589,0.63
SRRM3,SRRM2,Robust,0.15,0.75
ZC3H6,ZC3H4,Robust,0.479,0.5
AKIRIN2,AKIRIN1,Robust,0.661,0.681
CKS2,CKS1B,Robust,0.721,0.75
DRG2,DRG1,Robust,0.634,0.677
IREB2,ACO1,Robust,0.698,0.73
POC1B,POC1A,Robust,0.554,0.75
RALB,RALA,Robust,0.619,0.631
RPL22L1,RPL22,Robust,0.395,0.75
RPS27L,RPS27,Robust,0.581,0.644
SRSF6,SRSF4,Robust,0.671,0.725
SSH2,SSH1,Robust,0.679,0.7
TRA2B,TRA2A,Robust,0.613,0.694
UBE2B,UBE2A,Robust,0.686,0.729
VAPB,VAPA,Robust,0.655,0.659
VPS4B,VPS4A,Robust,0.679,0.695
DYNC1LI2,DYNC1LI1,Robust,0.645,0.75
ROCK2,ROCK1,Robust,0.692,0.702
CCNE2,CCNE1,Robust,0.701,0.717
FNIP2,FNIP1,Robust,0.687,0.726
CAB39L,CAB39,Robust,0.518,0.75
CRKL,CRK,Robust,0.607,0.646
DYNLT3,DYNLT1,Robust,0.482,0.688
GABPB2,GABPB1,Robust,0.667,0.75
MEF2D,MEF2A,Robust,0.664,0.709
RRAGD,RRAGC,Robust,0.729,0.738
STK39,OXSR1,Robust,0.669,0.672
STX7,STX12,Robust,0.61,0.636
RRAGB,RRAGA,Robust,0.7,0.712
FKBP5,FKBP4,Robust,0.711,0.731
GAK,DNAJC6,Robust,0.568,0.717
RPP25L,RPP25,Robust,0.553,0.75
XYLT2,XYLT1,Robust,0.725,0.741
BRD3,BRD2,Robust,0.519,0.75
CDK6,CDK4,Robust,0.674,0.694
CHPT1,CEPT1,Robust,0.677,0.712
DYNLL2,DYNLL1,Robust,0.664,0.674
EP300,CREBBP,Robust,0.686,0.708
GDI2,GDI1,Robust,0.588,0.617
GFPT2,GFPT1,Robust,0.678,0.688
IMPDH2,IMPDH1,Robust,0.652,0.7
MBNL2,MBNL1,Robust,0.67,0.719
PFN2,PFN1,Robust,0.657,0.713
PRKAR1B,PRKAR1A,Robust,0.672,0.75
PTBP2,PTBP1,Robust,0.523,0.75
SLC20A2,SLC20A1,Robust,0.686,0.694
STAG2,STAG1,Robust,0.729,0.735
TIMM17B,TIMM17A,Robust,0.697,0.7
ZFP36L2,ZFP36L1,Robust,0.623,0.738
G3BP2,G3BP1,Conditional,0.65,0.733
AP2A2,AP2A1,Conditional,0.708,0.708
SEC24B,SEC24A,Conditional,0.75,0.75
SAFB2,SAFB,Conditional,0.645,0.661
STAM2,STAM,Conditional,0.69,0.703
ARPC1B,ARPC1A,Conditional,0.641,0.694
ARPC5L,ARPC5,Conditional,0.527,0.658
MED13L,MED13,Conditional,0.486,0.75
YIF1B,YIF1A,Conditional,0.689,0.722
COQ10B,COQ10A,Conditional,0.75,0.75
CCNT2,CCNT1,Conditional,0.707,0.718
COPS7B,COPS7A,Conditional,0.75,0.75
AP2B1,AP1B1,Conditional,0.572,0.625
DYNC1I2,DYNC1I1,Conditional,0.648,0.674
MAP2K2,MAP2K1,Conditional,0.698,0.7
RANBP6,IPO5,Conditional,0.579,0.75
SEPHS2,SEPHS1,Conditional,0.589,0.632
SHMT2,SHMT1,Conditional,0.683,0.72
UPF3B,UPF3A,Conditional,0.668,0.696
HNRNPD,HNRNPAB,Conditional,0.642,0.719
MFN2,MFN1,Conditional,0.673,0.682
PSPC1,NONO,Conditional,0.684,0.75
FNDC3B,FNDC3A,Conditional,0.438,0.75
MTMR4,MTMR3,Conditional,0.685,0.687
PUM2,PUM1,Conditional,0.728,0.729
