A1CF	ENSGALG00000003765
A2ML1	ENSGALG00000000293
A4GALT	ENSGALG00000014128
A4GNT	ENSGALG00000006600
AACS	ENSGALG00000002899
AADAC	ENSGALG00000010364
AADAT	ENSGALG00000009655
AAGAB	ENSGALG00000007887
AAK1	ENSGALG00000041911
AAMDC	ENSGALG00000041949
AAMP	ENSGALG00000011445
AANAT	ENSGALG00000001955
AAR2	ENSGALG00000001034
AARS1	ENSGALG00000001965
AARS2	ENSGALG00000035337
AASDH	ENSGALG00000013764
AASDHPPT	ENSGALG00000027981
AASS	ENSGALG00000008953
AATF	ENSGALG00000005420
AATK	ENSGALG00000006901
ABAT	ENSGALG00000007334
ABCA12	ENSGALG00000003553
ABCA1	ENSGALG00000015433
ABCA3	ENSGALG00000037837
ABCA4	ENSGALG00000005752
ABCA5	ENSGALG00000004333
ABCB10	ENSGALG00000011096
ABCB11	ENSGALG00000010891
ABCB7	ENSGALG00000007788
ABCB8	ENSGALG00000031243
ABCB9	ENSGALG00000003736
ABCC1	ENSGALG00000006646
ABCC2	ENSGALG00000007395
ABCC3	ENSGALG00000007522
ABCC4	ENSGALG00000016896
ABCC5	ENSGALG00000008369
ABCC8	ENSGALG00000006172
ABCC9	ENSGALG00000013244
ABCD2	ENSGALG00000042554
ABCD3	ENSGALG00000005647
ABCD4	ENSGALG00000010229
ABCE1	ENSGALG00000009961
ABCF2	ENSGALG00000034573
ABCF3	ENSGALG00000008480
ABCG1	ENSGALG00000016164
ABCG4	ENSGALG00000006795
ABCG5	ENSGALG00000009955
ABCG8	ENSGALG00000009958
ABHD10	ENSGALG00000015378
ABHD11	ENSGALG00000001056
ABHD12B	ENSGALG00000020342
ABHD12	ENSGALG00000008525
ABHD13	ENSGALG00000016853
ABHD17A	ENSGALG00000041163
ABHD17C	ENSGALG00000006420
ABHD18	ENSGALG00000010201
ABHD2	ENSGALG00000006689
ABHD3	ENSGALG00000014938
ABHD5	ENSGALG00000040363
ABHD6	ENSGALG00000005696
ABI1	ENSGALG00000007547
ABI2	ENSGALG00000008714
ABI3BP	ENSGALG00000015307
ABL1	ENSGALG00000003875
ABL2	ENSGALG00000030357
ABLIM1	ENSGALG00000009048
ABLIM3	ENSGALG00000002790
ABRACL	ENSGALG00000013826
ABRA	ENSGALG00000041043
ABRAXAS1	ENSGALG00000011210
ABRAXAS2	ENSGALG00000038054
ABR	ENSGALG00000004364
ABTB1	ENSGALG00000005999
ACAA1	ENSGALG00000005860
ACAA2	ENSGALG00000031142
ACACA	ENSGALG00000005439
ACACB	ENSGALG00000005043
ACAD11	ENSGALG00000035949
ACAD8	ENSGALG00000001557
ACAD9	ENSGALG00000005034
ACADL	ENSGALG00000002891
ACADSB	ENSGALG00000041417
ACADS	ENSGALG00000007072
ACAN	ENSGALG00000006725
ACAP2	ENSGALG00000007040
ACAT1	ENSGALG00000017163
ACAT2	ENSGALG00000011659
ACBD3	ENSGALG00000009246
ACBD5	ENSGALG00000007519
ACBD6	ENSGALG00000003924
ACBD7	ENSGALG00000019663
ACCS	ENSGALG00000033730
ACE2	ENSGALG00000016554
ACE	ENSGALG00000000498
ACER1	ENSGALG00000001592
ACER2	ENSGALG00000015081
ACER3	ENSGALG00000000755
ACKR2	ENSGALG00000005305
ACKR3	ENSGALG00000021031
ACKR4	ENSGALG00000041491
ACLY	ENSGALG00000003475
ACMSD	ENSGALG00000012197
ACO1	ENSGALG00000002162
ACO2	ENSGALG00000011950
ACOD1	ENSGALG00000016919
ACOT11	ENSGALG00000010785
ACOT12	ENSGALG00000015616
ACOT13	ENSGALG00000013632
ACOT7	ENSGALG00000000652
ACOT8	ENSGALG00000006842
ACOT9	ENSGALG00000016351
ACOX1	ENSGALG00000002159
ACOX2	ENSGALG00000007132
ACOX3	ENSGALG00000015591
ACP1	ENSGALG00000016363
ACP2	ENSGALG00000008211
ACP3	ENSGALG00000043415
ACP5	ENSGALG00000032854
ACP6	ENSGALG00000015485
ACR	ENSGALG00000047768
ACSBG1	ENSGALG00000003286
ACSBG2	ENSGALG00000001749
ACSF2	ENSGALG00000019768
ACSF3	ENSGALG00000006223
ACSL1	ENSGALG00000010628
ACSL3	ENSGALG00000005206
ACSL4	ENSGALG00000008088
ACSL5	ENSGALG00000008840
ACSL6	ENSGALG00000006644
ACSM3	ENSGALG00000002200
ACSM5	ENSGALG00000042446
ACSS1	ENSGALG00000008632
ACSS2	ENSGALG00000003362
ACSS3	ENSGALG00000010940
ACTA1	ENSGALG00000011086
ACTA2	ENSGALG00000006343
ACTB	ENSGALG00000009621
ACTC1	ENSGALG00000009844
ACTG1	ENSGALG00000028749
ACTG2	ENSGALG00000041634
ACTL6A	ENSGALG00000009061
ACTL6B	ENSGALG00000030087
ACTN1	ENSGALG00000042458
ACTN2	ENSGALG00000014463
ACTR10	ENSGALG00000012041
ACTR1A	ENSGALG00000008086
ACTR2	ENSGALG00000008779
ACTR3B	ENSGALG00000006292
ACTR3	ENSGALG00000012159
ACTR5	ENSGALG00000003559
ACTR6	ENSGALG00000040976
ACTR8	ENSGALG00000005385
ACVR1B	ENSGALG00000029599
ACVR1C	ENSGALG00000041257
ACVR1	ENSGALG00000037301
ACVR2A	ENSGALG00000012444
ACVR2B	ENSGALG00000006158
ACY1	ENSGALG00000042984
ACYP1	ENSGALG00000010307
ACYP2	ENSGALG00000027632
