TUBA3C,PTHR11588:SF322,PTHR11588
FGF10,PTHR11486:SF21,PTHR11486
RGS18,PTHR10845:SF155,PTHR10845
CHD5,PTHR45623:SF6,PTHR45623
MORC3,PTHR23336:SF17,PTHR23336
DLST,PTHR43416:SF18,PTHR43416
TRBV5-5,PTHR23268:SF6,PTHR23268
CDC42BPA,PTHR22988:SF31,PTHR22988
POP5,PTHR15441:SF2,PTHR15441
EZH1,PTHR45747:SF1,PTHR45747
PRLH,PTHR17206:SF1,PTHR17206
SMARCB1,PTHR10019:SF5,PTHR10019
RPRD1A,PTHR12460:SF2,PTHR12460
ARPC1A,PTHR10709:SF11,PTHR10709
TPRX1,PTHR45793:SF12,PTHR45793
DEXI,PTHR17070:SF0,PTHR17070
ZNF620,PTHR24381:SF114,PTHR24381
CBLN3,PTHR22923:SF2,PTHR22923
OTOP3,PTHR21522:SF36,PTHR21522
RHOQ,PTHR24072:SF13,PTHR24072
RPL23A,PTHR11620:SF60,PTHR11620
PAAT,PTHR14787:SF3,PTHR14787
PRPF18,PTHR13007:SF19,PTHR13007
RGS7,PTHR45746:SF7,PTHR45746
SPEM1,PTHR34834:SF1,PTHR34834
PCBP3,PTHR10288:SF98,PTHR10288
SPC25,PTHR14281:SF0,PTHR14281
PHLDB1,PTHR12156:SF23,PTHR12156
SMARCD1,PTHR13844:SF1,PTHR13844
STAP1,PTHR16186:SF10,PTHR16186
ZBTB45,PTHR24399:SF16,PTHR24399
SUV39H1,PTHR46223:SF1,PTHR46223
SMPDL3A,PTHR10340:SF24,PTHR10340
ZNF92,PTHR24384:SF211,PTHR24384
ZCCHC12,PTHR23095:SF18,PTHR23095
SIRT3,PTHR47651:SF8,PTHR47651
GOLT1B,PTHR21493:SF79,PTHR21493
CRKL,PTHR19969:SF20,PTHR19969
KIF20A,PTHR24115:SF352,PTHR24115
PARP1,PTHR10459:SF112,PTHR10459
FXYD3,PTHR14132:SF11,PTHR14132
GBA3,PTHR10353:SF291,PTHR10353
PABPN1L,PTHR23236:SF27,PTHR23236
ILF3,PTHR45762:SF4,PTHR45762
SS18L1,PTHR23107:SF21,PTHR23107
TBC1D19,PTHR16110:SF1,PTHR16110
ARHGEF16,PTHR12845:SF3,PTHR12845
BMP8B,PTHR11848:SF119,PTHR11848
ZNF324,PTHR24377:SF621,PTHR24377
HSP90AB2P,PTHR11528:SF78,PTHR11528
FIG4,PTHR45738:SF5,PTHR45738
ZKSCAN7,PTHR24377:SF882,PTHR24377
FAM151B,PTHR21184:SF3,PTHR21184
MRPS18A,PTHR13479:SF66,PTHR13479
RNF170,PTHR22894:SF1,PTHR22894
MTAP,PTHR42679:SF4,PTHR42679
SLC29A2,PTHR10332:SF8,PTHR10332
RNASEH2B,PTHR13383:SF11,PTHR13383
ZSWIM1,PTHR31569:SF0,PTHR31569
ANHX,PTHR10390:SF34,PTHR10390
ZBED6,PTHR47241:SF2,PTHR47241
ITGAX,PTHR23220:SF118,PTHR23220
MTCL1,PTHR15742:SF3,PTHR15742
RAB11FIP4,PTHR15726:SF5,PTHR15726
ABCA1,PTHR19229:SF34,PTHR19229
KRBOX1,PTHR23232:SF90,PTHR23232
NAV1,PTHR12784:SF3,PTHR12784
ABCD1,PTHR11384:SF21,PTHR11384
POMP,PTHR12828:SF3,PTHR12828
PLA2G1B,PTHR11716:SF94,PTHR11716
FITM2,PTHR23129:SF1,PTHR23129
ZSWIM7,PTHR28498:SF1,PTHR28498
EXT1,PTHR11062:SF97,PTHR11062
AHNAK2,PTHR23348:SF37,PTHR23348
ZNF516,PTHR45925:SF3,PTHR45925
CACNB1,PTHR11824:SF17,PTHR11824
LRCH3,PTHR16083:SF7,PTHR16083
IGLV3-25,PTHR23267:SF454,PTHR23267
CLK1,PTHR45646:SF4,PTHR45646
TFCP2L1,PTHR11037:SF18,PTHR11037
MRPS2,PTHR12534:SF0,PTHR12534
OR51I2,PTHR26450:SF112,PTHR26450
OR10V1,PTHR26452:SF263,PTHR26452
CSNK1E,PTHR11909:SF428,PTHR11909
EEF1G,PTHR43986:SF4,PTHR43986
MPLKIP,PTHR22446:SF3,PTHR22446
OXNAD1,PTHR46505:SF1,PTHR46505
TMF1,PTHR46515:SF1,PTHR46515
ISLR,PTHR24366:SF14,PTHR24366
CIRBP,PTHR48034:SF5,PTHR48034
PGBD4,PTHR46599:SF8,PTHR46599
LOC400499,PTHR37860:SF1,PTHR37860
SLC35G2,PTHR22911:SF52,PTHR22911
SPON1,PTHR11311:SF16,PTHR11311
BCL2L12,PTHR14965:SF2,PTHR14965
ATP5MC3,PTHR10031:SF46,PTHR10031
CAPZA1,PTHR10653:SF5,PTHR10653
ZFYVE27,PTHR14543:SF1,PTHR14543
COPB1,PTHR10635:SF0,PTHR10635
MOV10,PTHR10887:SF322,PTHR10887
ZFP41,PTHR24381:SF381,PTHR24381
CNOT3,PTHR23326:SF1,PTHR23326
ACTR6,PTHR11937:SF47,PTHR11937
CHKA,PTHR22603:SF36,PTHR22603
CWC25,PTHR16196:SF0,PTHR16196
SSH1,PTHR45864:SF5,PTHR45864
SERPINC1,PTHR11461:SF53,PTHR11461
CNRIP1,PTHR31952:SF1,PTHR31952
KLHL34,PTHR45632:SF8,PTHR45632
NTS,PTHR15356:SF0,PTHR15356
PIPSL,PTHR23086:SF116,PTHR23086
REC114,PTHR34921:SF1,PTHR34921
FBXO40,PTHR15933:SF1,PTHR15933
SENP8,PTHR46468:SF1,PTHR46468
ATG4C,PTHR22624:SF38,PTHR22624
ZNF600,PTHR24376:SF85,PTHR24376
ZNF274,PTHR23226:SF93,PTHR23226
WDR38,PTHR22847:SF626,PTHR22847
OR51E2,PTHR26450:SF92,PTHR26450
GRIK4,PTHR18966:SF171,PTHR18966
ZNF275,PTHR23226:SF193,PTHR23226
CD24,PTHR16676:SF0,PTHR16676
ZFTA,PTHR34589:SF2,PTHR34589
OR2AE1,PTHR26453:SF196,PTHR26453
TAF4B,PTHR15138:SF17,PTHR15138
KCNMB3,PTHR10258:SF4,PTHR10258
MT-ND4,PTHR43507:SF1,PTHR43507
ADGRG5,PTHR12011:SF326,PTHR12011
OR13C8,PTHR26453:SF87,PTHR26453
MID1IP1,PTHR14315:SF16,PTHR14315
TRAV3,PTHR19367:SF8,PTHR19367
PDPK1,PTHR24356:SF163,PTHR24356
RABEPK,PTHR46647:SF1,PTHR46647
IGHV1-24,PTHR23266:SF275,PTHR23266
DNM3,PTHR11566:SF54,PTHR11566
A3GALT2,PTHR10462:SF33,PTHR10462
CNOT9,PTHR12262:SF0,PTHR12262
IGHV4-34,PTHR23266:SF238,PTHR23266
COQ8B,PTHR43851:SF4,PTHR43851
KICS2,PTHR31581:SF1,PTHR31581
NRCAM,PTHR44170:SF15,PTHR44170
UNC119,PTHR12951:SF5,PTHR12951
SLAMF8,PTHR12080:SF92,PTHR12080
CYP20A1,PTHR24280:SF4,PTHR24280
GHDC,PTHR31901:SF9,PTHR31901
RGS9BP,PTHR21029:SF1,PTHR21029
DEFB103B,PTHR20515:SF0,PTHR20515
PLEKHA2,PTHR14336:SF5,PTHR14336
HSPA12A,PTHR14187:SF46,PTHR14187
PCDHA13,PTHR24028:SF101,PTHR24028
DSN1,PTHR14778:SF2,PTHR14778
PSMC3,PTHR23073:SF90,PTHR23073
NTF3,PTHR11589:SF4,PTHR11589
NUDT10,PTHR12629:SF43,PTHR12629
FLT1,PTHR24416:SF390,PTHR24416
RAB11A,PTHR47979:SF110,PTHR47979
KMT2E,PTHR46462:SF2,PTHR46462
OR4M1,PTHR48002:SF103,PTHR48002
RET,PTHR24416:SF485,PTHR24416
MSL2,PTHR16048:SF3,PTHR16048
ERH,PTHR12373:SF9,PTHR12373
TECPR1,PTHR23250:SF1,PTHR23250
GRIPAP1,PTHR18978:SF1,PTHR18978
NAALAD2,PTHR10404:SF38,PTHR10404
DDX19B,PTHR47958:SF93,PTHR47958
BHLHE22,PTHR19290:SF52,PTHR19290
LHFPL4,PTHR12489:SF14,PTHR12489
TSPAN4,PTHR19282:SF40,PTHR19282
CCDC189,PTHR28457:SF1,PTHR28457
USP49,PTHR21646:SF7,PTHR21646
LHCGR,PTHR24372:SF1,PTHR24372
EXOC3,PTHR21292:SF13,PTHR21292
DIO2,PTHR11781:SF20,PTHR11781
DARS1,PTHR43450:SF1,PTHR43450
TRBV17,PTHR23268:SF93,PTHR23268
CCDC28B,PTHR13400:SF2,PTHR13400
ITGB2,PTHR10082:SF15,PTHR10082
