paralog_pair,PC9_GI_score_rank,PC9_GI_score,PC9_GI_fdr,HeLa_GI_score_rank,HeLa_GI_score,HeLa_GI_fdr,target1,target2,target1_ensembl_id,target1_chr,target1_start_pos,target2_ensembl_id,target2_hgnc_symbol,target2_chr,target2_start_pos,PC9_target1_TPM,PC9_target2_TPM,PC9_target1_essential,PC9_target2_essential,PC9_target1_cn,PC9_target2_cn,PC9_DKO_expected_CS,PC9_DKO_observed_CS,PC9_GI_pval,HeLa_target1_TPM,HeLa_target2_TPM,HeLa_target1_cn,HeLa_target2_cn,HeLa_DKO_expected_CS,HeLa_DKO_observed_CS,HeLa_GI_pval,PC9_GI_flag,HeLa_GI_flag,GI_flag,same_chr,same_chr_dist,proximity
CCNL2|CCNL1,1,-2.313788301,1.65E-04,10,-1.261084186,0.026167525,CCNL2,CCNL1,ENSG00000221978,1,1385711,ENSG00000163660,CCNL1,3,157146508,74.126,174.635,FALSE,TRUE,2.141667864,2.112089577,0.375079052,-1.987383444,1.61E-07,59.91914602,87.60460219,2.10030234,1.870128272,-0.099314911,-1.332104364,0.001625943,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
CDK6|CDK4,2,-1.537567625,3.40E-04,210,-0.251834193,0.307389391,CDK6,CDK4,ENSG00000105810,7,92604921,ENSG00000135446,CDK4,12,57747727,3.435,230.28,FALSE,FALSE,2.00412091,2.010152424,-2.309117027,-3.408343529,6.61E-07,15.93159384,321.0082011,2.153085907,1.854468966,-0.451694162,-0.632285486,0.119672957,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
CSTF2T|CSTF2,32,-0.889570526,4.41E-04,17,-1.122985351,0.001789587,CSTF2T,CSTF2,ENSG00000177613,10,51695486,ENSG00000101811,CSTF2,X,100820359,24.021,39.446,FALSE,FALSE,2.370063727,1.743411031,-0.401160006,-1.198565421,1.28E-06,37.61235946,42.97825314,1.847861193,1.870490223,0.194486626,-0.936012651,1.74E-05,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
CLEC4C|CLEC6A,1027,0.748590418,4.89E-04,751,0.069986119,0.789673192,CLEC4C,CLEC6A,ENSG00000198178,12,7729415,ENSG00000205846,CLEC6A,12,8455962,0,0,FALSE,FALSE,2.338675232,2.338675232,-0.330329967,0.497574296,2.21E-06,0,0,2.122176806,2.241255405,-0.308274144,-0.184525249,0.650138706,buffering_in_PC9,neither_in_HeLa,buffering,TRUE,726547,less_than_1Mb
SLC25A28|SLC25A37,23,-0.943552614,4.89E-04,49,-0.687042598,0.057150714,SLC25A28,SLC25A37,ENSG00000155287,10,99610522,ENSG00000147454,SLC25A37,8,23528956,18.44,33.865,FALSE,FALSE,1.667483926,1.697902304,-0.187699772,-1.077817086,2.37E-06,21.39969501,43.08046064,1.868140228,1.871335362,-0.625862915,-1.220434881,0.007203063,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
CRKL|CRK,116,-0.463647963,0.001069772,119,-0.393617467,0.042695613,CRKL,CRK,ENSG00000099942,22,20917407,ENSG00000167193,CRK,17,1420689,11.216,30.049,TRUE,FALSE,1.654369313,2.127605953,-0.509536037,-0.861355352,6.23E-06,13.044232,27.36605774,1.841071293,2.061717539,-0.308073846,-0.647952951,0.004403834,neither_in_PC9,neither_in_HeLa,neither,FALSE,NA,diff_chr
CREBBP|EP300,19,-0.972710502,0.001316289,48,-0.691428625,0.165067759,CREBBP,EP300,ENSG00000005339,16,3725054,ENSG00000100393,EP300,22,41092592,5.35,9.206,FALSE,FALSE,2.00116239,2.369908942,-0.524528266,-1.382689961,8.95E-06,5.749171793,5.928034916,2.148300315,2.15765069,-0.820410496,-1.395656945,0.038141871,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
PMPCB|UQCRC1,1030,0.931334883,0.001424869,1028,0.591569772,0.188484239,PMPCB,UQCRC1,ENSG00000105819,7,103297435,ENSG00000010256,UQCRC1,3,48599002,115.731,146.731,TRUE,TRUE,2.343581653,1.984185386,-3.405243722,-1.836688619,1.11E-05,118.1390924,207.3917905,2.145597302,2.115430017,-3.371046781,-2.352422176,0.048493518,buffering_in_PC9,neither_in_HeLa,buffering,FALSE,NA,diff_chr
TIAL1|TIA1,20,-0.969587605,0.001537025,18,-1.100311822,0.001286421,TIAL1,TIA1,ENSG00000151923,10,119571802,ENSG00000116001,TIA1,2,70209444,50.607,34.639,FALSE,FALSE,1.69676159,1.808705316,-0.121334597,-1.04952807,1.34E-05,66.31989062,52.75184519,1.868140228,1.86154616,-0.32666567,-1.37097315,8.74E-06,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
ZNF143|ZNF76,51,-0.727425105,0.001553544,186,-0.274205599,0.263802755,ZNF143,ZNF76,ENSG00000166478,11,9460319,ENSG00000065029,ZNF76,6,35258909,12.791,25.025,FALSE,FALSE,1.845960379,1.991240473,-0.038714072,-0.739735552,1.51E-05,21.02919283,16.82590945,2.126619228,1.843055783,-0.938739311,-1.082340767,0.09373962,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
