gene	transcript	branch
ENSG00000000003	ENST00000373020	0
ENSG00000000005	ENST00000373031	0
ENSG00000000419	ENST00000371583	0
ENSG00000000457	ENST00000367772	0
ENSG00000000460	ENST00000286031	0
ENSG00000000938	ENST00000399173	0
ENSG00000000971	ENST00000367429	2
ENSG00000001036	ENST00000438118	0
ENSG00000001084	ENST00000514933	0
ENSG00000001167	ENST00000353205	0
ENSG00000001460	ENST00000374409	1
ENSG00000001461	ENST00000428131	0
ENSG00000001497	ENST00000312391	1
ENSG00000001561	ENST00000321037	0
ENSG00000001617	ENST00000414301	0
ENSG00000001626	ENST00000468795	0
ENSG00000001629	ENST00000422095	0
ENSG00000001630	ENST00000422867	0
ENSG00000001631	ENST00000440209	0
ENSG00000002016	ENST00000536177	0
ENSG00000002330	ENST00000492141	3
ENSG00000002549	ENST00000513105	0
ENSG00000002587	ENST00000510712	0
ENSG00000002726	ENST00000416793	0
ENSG00000002745	ENST00000361301	0
ENSG00000002746	ENST00000453890	0
ENSG00000002822	ENST00000444373	0
ENSG00000002834	ENST00000318008	0
ENSG00000002919	ENST00000439357	0
ENSG00000002933	ENST00000004103	3
ENSG00000003056	ENST00000543704	0
ENSG00000003096	ENST00000545703	1
ENSG00000003137	ENST00000546307	0
ENSG00000003147	ENST00000422063	1
ENSG00000003249	ENST00000304733	0
ENSG00000003393	ENST00000457679	0
ENSG00000003400	ENST00000360132	1
ENSG00000003402	ENST00000479953	1
ENSG00000003436	ENST00000339091	0
ENSG00000003509	ENST00000441905	0
ENSG00000003756	ENST00000395174	0
ENSG00000003987	ENST00000398099	0
ENSG00000003989	ENST00000398090	0
ENSG00000004059	ENST00000415666	0
ENSG00000004139	ENST00000579593	0
ENSG00000004142	ENST00000540200	0
ENSG00000004399	ENST00000393239	0
ENSG00000004455	ENST00000487289	0
ENSG00000004468	ENST00000510674	3
ENSG00000004478	ENST00000539181	0
ENSG00000004487	ENST00000542151	0
ENSG00000004534	ENST00000433811	1
ENSG00000004660	ENST00000381771	0
ENSG00000004700	ENST00000536240	0
ENSG00000004766	ENST00000443443	0
ENSG00000004777	ENST00000587447	1
ENSG00000004779	ENST00000007516	0
ENSG00000004799	ENST00000005178	0
ENSG00000004809	ENST00000456137	0
ENSG00000004838	ENST00000431869	0
ENSG00000004846	ENST00000404938	1
ENSG00000004848	ENST00000379044	0
ENSG00000004864	ENST00000542654	0
ENSG00000004866	ENST00000477742	0
ENSG00000004897	ENST00000446365	0
ENSG00000004939	ENST00000262418	0
ENSG00000004948	ENST00000360249	0
ENSG00000004961	ENST00000321143	0
ENSG00000004975	ENST00000574143	0
ENSG00000005001	ENST00000576381	1
ENSG00000005007	ENST00000599848	0
ENSG00000005020	ENST00000539623	0
ENSG00000005022	ENST00000317881	0
ENSG00000005059	ENST00000394650	0
ENSG00000005073	ENST00000006015	0
ENSG00000005075	ENST00000292614	0
ENSG00000005100	ENST00000574023	0
ENSG00000005102	ENST00000318579	0
ENSG00000005108	ENST00000423059	0
ENSG00000005156	ENST00000585370	0
ENSG00000005175	ENST00000380650	0
ENSG00000005187	ENST00000561795	1
ENSG00000005189	ENST00000568501	1
ENSG00000005194	ENST00000570000	0
ENSG00000005238	ENST00000378554	0
ENSG00000005243	ENST00000580174	4
ENSG00000005249	ENST00000265717	0
ENSG00000005302	ENST00000380691	0
ENSG00000005339	ENST00000571826	0
ENSG00000005379	ENST00000355701	0
